,item_id,item_category_id,item_category_name,item_name,mean_price
0,2691,19,Игры - PS3,"Dark Souls 2. Collector's Edition [PS3, русские субтитры]",5975.025
1,3736,19,Игры - PS3,Grand Theft Auto V. Коллекционное издание [PS3],5927.175630012444
2,1499,19,Игры - PS3,"Assassin's Creed IV. Черный флаг. Black Chest Edition [PS3, русская версия]",5753.32346089681
3,1944,19,Игры - PS3,"BioShock Infinite. Ultimate Songbird Edition [PS3, английская версия]",5725.517241379311
4,7795,19,Игры - PS3,"Watch_Dogs. Dedsec Edition [PS3, русская версия]",4753.694244604317
5,3448,19,Игры - PS3,"Far Cry 4. Kyrat Edition [PS3, русская версия]",4699.0
6,7073,19,Игры - PS3,"Tomb Raider. Collector's Edition [PS3, английская версия]",4499.0
7,5213,19,Игры - PS3,"Naruto Shippuden: Ultimate Ninja Storm 3 Will of Fire [PS3, английская версия]",4449.405405405405
8,5211,19,Игры - PS3,"Naruto Shippuden: Ultimate Ninja Storm 3 True Despair [PS3, английская версия]",4431.037037037037
9,1591,19,Игры - PS3,"Assassin’s Creed 3. Freedom Edition [PS3, русская версия]",3999.0
10,5206,19,Игры - PS3,"Naruto Shippuden Ultimate Ninja Storm Revolution. Сollector's Edition [PS3, английская версия]",3984.0333353678384
11,3696,19,Игры - PS3,"God of War: Восхождение. Коллекционное издание [PS3, русская версия]",3948.5185185185187
12,6141,19,Игры - PS3,"Resistance 3. Комплект выжившего [PS3, русская версия]",3936.574951171875
13,4829,19,Игры - PS3,"Metal Gear Rising: Revengeance. Коллекционное издание [PS3, английская версия]",3892.75
14,1503,19,Игры - PS3,"Assassin's Creed IV. Черный флаг. Buccaneer Edition [PS3, русская версия]",3806.492
15,6692,19,Игры - PS3,"South Park: Палка Истины. Grand Wizard Edition [PS3, английская версия]",3696.725
16,7799,19,Игры - PS3,"Watch_Dogs. Vigilante Edition [PS3, русская версия]",3596.8455284552847
17,2876,19,Игры - PS3,"Disney. Infinity 2.0 (Marvel). Стартовый набор [PS3, русская версия]",3464.591935483871
18,1403,19,Игры - PS3,"Aliens: Colonial Marines. Коллекционное издание [PS3, русская версия]",3453.190789473684
19,3740,19,Игры - PS3,Grand Theft Auto V. Специальное издание [PS3],3450.6765841723764
20,7219,19,Игры - PS3,"Uncharted 3. Иллюзии Дрейка. Комплект искателя приключений [PS3, русская версия]",3198.0
21,16792,19,Игры - PS3,"Одни из нас. Специальное издание. Джоэл [PS3, русская версия]",3174.4233180659476
22,16793,19,Игры - PS3,"Одни из нас. Специальное издание. Элли [PS3, русская версия]",3162.3846816530654
23,1942,19,Игры - PS3,"BioShock Infinite. Premium Edition [PS3, английская версия]",3141.717391304348
24,2314,19,Игры - PS3,"Call of Duty: Black Ops II. Hardened Edition [PS3, английская версия]",3031.5
25,3030,19,Игры - PS3,"Dragon Age: Инквизиция. Deluxe Edition [PS3, русские субтитры]",2999.0
26,1569,19,Игры - PS3,"Assassin's Creed: Изгой. Коллекционное издание [PS3, русская версия]",2983.3353938802084
27,6569,19,Игры - PS3,"Skylanders Swap Force. Стартовый набор: игровой портал, игра, фигурки [PS3, английская версия]",2982.595238095238
28,4996,19,Игры - PS3,"NBA 2K15 [PS3, английская версия]",2982.4643758138022
29,7723,19,Игры - PS3,"WWE 2K15 [PS3, русская документация]",2974.344410615809
30,1508,19,Игры - PS3,"Assassin's Creed IV. Черный флаг. Skull Edition [PS3, русская версия]",2972.4634146341464
31,3345,19,Игры - PS3,"FIFA 15. Ultimate Team Edition [PS3, русская версия]",2964.792
32,2040,19,Игры - PS3,"Borderlands: The Pre-Sequel [PS3, русские субтитры]",2963.63333208133
33,19438,19,Игры - PS3,"Средиземье: Тени Мордора [PS3, русские субтитры]",2915.5151159005572
34,2284,19,Игры - PS3,"Call of Duty: Advanced Warfare [PS3, русская версия]",2909.455216934051
35,6570,19,Игры - PS3,"Skylanders Swap Force. Стартовый набор: игровой портал, игра, фигурки [PS3, русская версия]",2889.9437086092717
36,2915,19,Игры - PS3,"Disney. Infinity. Стартовый набор [PS3, русская версия]",2888.406466283058
37,5901,19,Игры - PS3,"Pro Evolution Soccer 2015 [PS3, русские субтитры]",2880.9118094308037
38,3499,19,Игры - PS3,"Final Fantasy XIV: A Realm Reborn. Collector’s Edition [PS3, английская версия]",2879.9523809523807
39,2294,19,Игры - PS3,"Call of Duty: Advanced Warfare. Day Zero Edition [PS3, русская версия]",2841.9988703323625
40,4336,19,Игры - PS3,"LEGO Batman 3. Покидая Готэм [PS3, русские субтитры]",2822.493116502638
41,3236,19,Игры - PS3,"Evil Within [PS3, русские субтитры]",2820.8421180060295
42,7076,19,Игры - PS3,"Tomb Raider. Survival Edition [PS3, русская версия]",2814.8780585901063
43,3438,19,Игры - PS3,"Far Cry 3. Коллекционное издание [PS3, русская версия]",2805.7791669291832
44,18519,37,Кино - Blu-Ray,СБОРНИК ГАЙДАЯ (BD),2779.387755102041
45,13450,19,Игры - PS3,"Комплект Uncharted Trilogy: «Uncharted 3. Иллюзии Дрейка + Uncharted 2: Among Thieves [PS3, русская",2776.50247823781
46,6612,19,Игры - PS3,"Skylanders. Стартовый набор: игровой портал, игра, фигурки [PS3, русская версия]",2773.9744351810004
47,3428,19,Игры - PS3,"Far Cry 3 + Код на активацию дополнения Пропавшие экспедиции [PS3, русская версия]",2768.2300005744487
48,2779,19,Игры - PS3,"Destiny [PS3, русская документация]",2737.3244162395504
49,7734,19,Игры - PS3,"WWE'13 [PS3, английская версия]",2727.4930004882813
50,3874,19,Игры - PS3,"Hitman Absolution: Deluxe Professional Edition [PS3, английская версия]",2698.25
51,14281,55,Музыка - CD локального производства,МАКАРЕВИЧ АНДРЕЙ  Избранное  6CD (box),2657.6363636363635
52,3732,19,Игры - PS3,"Grand Theft Auto V [PS3, русские субтитры]",2617.926040600802
53,11813,19,Игры - PS3,"За гранью: Две души. Специальное издание [PS3, русская версия]",2604.5261328125
54,11789,37,Кино - Blu-Ray,ЗОЛУШКА х/ф цветной (BD)+Книга,2599.0
55,5201,19,Игры - PS3,"Naruto Shippuden Ultimate Ninja Storm Generations. Special Edition [PS3, русская документация]",2599.0
56,6928,19,Игры - PS3,"The Amazing Spider-Man 2 [PS3, русская версия]",2599.0
57,3547,19,Игры - PS3,"Formula 1 2014 [PS3, русская документация]",2598.984997558594
58,7836,19,Игры - PS3,"Wolfenstein: The New Order [PS3, русские субтитры]",2597.692464631179
59,5204,19,Игры - PS3,"Naruto Shippuden Ultimate Ninja Storm Revolution. Day One Edition [PS3, русские субтитры]",2594.941910687615
60,2687,19,Игры - PS3,"Dark Souls 2 [PS3, русские субтитры]",2590.2900873419944
61,3461,19,Игры - PS3,"Far Cry 4. Специальное издание [PS3, русская версия]",2585.9222361790316
62,1564,19,Игры - PS3,"Assassin's Creed: Изгой [PS3, русская версия]",2585.8110860812885
63,6901,19,Игры - PS3,"Tales of Xillia 2 [PS3, русская документация]",2582.216127457157
64,1477,19,Игры - PS3,"Assassin's Creed 3. Вашингтон [PS3, русская версия]",2578.679999248798
65,7720,19,Игры - PS3,"WWE 2K14 [PS3, русская документация]",2578.2660788649505
